Title,Description,Link,Organisation,Type of Organisation,Country,Language,Key Area,Sector,Scope
e-SAFE: tackling the need to renovate the EU's housing stock,"Recognising the need for a more circular construction sector, the Horizon 2020 e-SAFE project is trying to change the way we approach building retrofitting, enhancing the overall longevity of existing structures.",https://circulareconomy.europa.eu/platform/en/good-practices/e-safe-tackling-need-renovate-eus-housing-stock,e-SAFE,Public-private partnership,Italy,English,"Waste management, Secondary raw materials","Circular design, Housing and Urban development, Research, Waste management & Secondary Raw Materials",EU
Dutch Register of Electronic Equipment Repairers,The online national Register of Electronic Equipment Repairers (Nationaal Reparateursregister) has been launched in the Netherlands. It enables consumers and (retail) professionals to find professional and skilled independent repairers and refurbishers of electronic equipment who work nearby.,https://circulareconomy.europa.eu/platform/en/good-practices/dutch-register-electronic-equipment-repairers,Techniek Nederland,Social partners association,Netherlands,Dutch,Consumption,"Behavioural incentives, Circular action for climate neutrality, Digital solutions, Electronics and ICT, Repair, Refurbishment, Remanufacture, Repurpose",National
Green Deal Circular Festivals: striving for a circular and climate neutral festival industry,"As a growing community of European frontrunner festivals, Green Deal Circular Festivals strives for fully circular and climate neutral festivals, as festivals can play a guiding role in inspiring a green movement and accelerate society’s transition.",https://circulareconomy.europa.eu/platform/en/good-practices/green-deal-circular-festivals-striving-circular-and-climate-neutral-festival-industry,Green Deal Circular Festivals,Public body,Netherlands,English,"Waste management, Innovation and investments","Awareness raising, Behavioural incentives, Circular design, Culture, Sports and Leisure activities, Energy and waste-to-energy, Measuring circularity, Power and utilities, Refuse, Re-think, Reduce, Reuse, Social impact, Waste management & Secondary Raw Materials","Cities, National, EU"
"KOMA Modular: Modular buildings which follow the Build, Refurbish, Dismantle, Rebuild concept",The Czech company KOMA Modular s.r.o. is taking a new approach to construction: it manufactures modular buildings made up of individual prefabricated units. It's an effective method which avoids the whole material-intensive issue of construction and demolition.,https://circulareconomy.europa.eu/platform/en/good-practices/koma-modular-modular-buildings-which-follow-build-refurbish-dismantle-rebuild-concept,KOMA Modular,Business,Czechia,Czech,"Production, Innovation and investments","Circular design, Construction, Buildings and Infrastructure, Industrial techniques","Cities, Municipalities"
"Sensoneo, smart and cost-effective waste management solutions from Slovakia","Sensoneo provides smart waste management solutions that support the digital transformation of waste management to achieve efficiency, transparency, and sustainability.The company is specialised in digitisation and streamlining of waste collection.",https://circulareconomy.europa.eu/platform/en/good-practices/sensoneo-smart-and-cost-effective-waste-management-solutions-slovakia,Sensoneo,Business,Slovakia,English,"Consumption, Waste management, Innovation and investments",Waste management & Secondary Raw Materials,"Cities, Rural, Global, EU"
Gees Recycling: traceability of products made from fibre-reinforced composites,"Gees Recycling's ""Retracking"" project aims to help lay the groundwork for moving the fibreglass manufacturing sector from a linear to a circular economy by proposing a circular model able to produce a secondary raw material from fibre-reinforced composite waste.",https://circulareconomy.europa.eu/platform/en/good-practices/gees-recycling-traceability-products-made-fibre-reinforced-composites,Gees Recycling Srl,Business,Italy,English,"Production, Secondary raw materials","Construction, Buildings and Infrastructure, Industrial techniques, Recycling, Research, Waste management & Secondary Raw Materials",International
Gruppo FOS: A Repair Centre to curb electronic waste,"Reliance on electronics comes with steep environmental costs, from mining minerals to disposal of end-of-life devices. As the use of electronic products has grown, their average lifespan becomes shorter. This in turn results in an increased volume of discarded and obsolete electronic devices.Gruppo FOS in Caserta (Italy) provides a T&G (technology and groupware) Repair Centre and Swap & Repair services for electronic devices.",https://circulareconomy.europa.eu/platform/en/good-practices/gruppo-fos-repair-centre-curb-electronic-waste,SIIT ScpA,Business,Italy,English,Secondary raw materials,"Electronics and ICT, Repair, Refurbishment, Remanufacture, Repurpose","National, International, Global, EU"
FOOD-Y: giving NEETS skills and combating food waste,"FOOD-Y, an Erasmus+ Cooperation partnership in youth, brings together partners from five countries to combat food waste while equipping NEETs with valuable skills.The programme aims to give young people who are neither in employment nor in education and training (NEET) the information they need to devise innovative solutions to food waste. The young people gain the skills and confidence to make them employable while coming up with innovative ways to get the local community involved in combating food waste: a win-win proposal!",https://circulareconomy.europa.eu/platform/en/good-practices/food-y-giving-neets-skills-and-combating-food-waste,FOOD-Y,NGO or network of NGOs,Italy,English,"Production, Consumption, Waste management, Secondary raw materials","Awareness raising, Education and skills, Food, water and nutrients, Social impact, Waste management & Secondary Raw Materials",EU
"Swapp! - Buy the amount you actually need, in a reusable container",The Polish company Swapp! aims to encourage consumers to act sustainably by urging them to opt for reusable containers when they go shopping.,https://circulareconomy.europa.eu/platform/en/good-practices/swapp-buy-amount-you-actually-need-reusable-container,Swapp,Business,Poland,Polish,Consumption,Electronics and ICT,"Regional, National"
Circularity in the automotive industry: Stellantis has made circularity part of its business model,"With 14 automotive brands around the globe, Stellantis is a major industry player. In March 2022, it presented its Dare Forward 2030 strategic plan, aiming to achieve carbon net zero by 2038 while reducing its consumption of natural resources. The plan is steered by the Circular Economy Business Unit and is based on remanufacture, repair, reuse and recycle.",https://circulareconomy.europa.eu/platform/en/good-practices/circularity-automotive-industry-stellantis-has-made-circularity-part-its-business-model,Stellantis,Private company,N/A,English,"Production, Consumption, Waste management, Secondary raw materials, Innovation and investments","Batteries and Vehicles, Circular design, Repair, Refurbishment, Remanufacture, Repurpose, Waste management & Secondary Raw Materials",Global
Eco Repair ScoreⓇ: a solution for informed and environmentally friendly vehicle repair choices,"Eco Repair Score NV and VITO have developed the Eco Repair Score® to assess the environmental impact of a specific car repair job. It does this using a single score, with categories from A to E and associated colour coding.",https://circulareconomy.europa.eu/platform/en/good-practices/eco-repair-score-solution-informed-and-environmentally-friendly-vehicle-repair-choices,Eco Repair Score NV,Business,Belgium,Dutch,"Production, Consumption","Batteries and Vehicles, Circular action for climate neutrality, Corporate Procurement, Digital solutions, Empowering Consumers, Industrial techniques, Measuring circularity, Repair, Refurbishment, Remanufacture, Repurpose","Global, EU"
CuCilento: turning by-products into shopping bags,"CuCilento (which can be understand to mean both ""Sew slowly"" and ""Sew in Cilento"", a region in Campania) is an innovative business project designed by Sarah Khoudja as part of the EU's 'Empowering Women in Agrifood' programme led by the Future Food Institute. It is an upcycling workshop which processes agricultural by-products and other materials (boat sails, factory scraps, etc.) classified as waste and turns them into net or fabric bags that can be used for food packaging or shopping.",https://circulareconomy.europa.eu/platform/en/good-practices/cucilento-turning-products-shopping-bags,Cucilento,Private company,Italy,Italian,"Secondary raw materials, Innovation and investments","Refuse, Re-think, Reduce, Retail, Reuse, Social Enterprise, Social impact",EU
BRILIAN: Promoting the transition to bio-based economies in rural areas,"The BRILIAN project is designed to support the adoption of sustainable and cooperative business models in rural areas, enabling a smoother transition to bio-based economies. It plays a fundamental role in revitalising these regions and promoting sustainable economic and social development by transforming primary producers into active players in the supply chain, aligned with the goals outlined in the Common Agricultural Policy (CAP), the Green Deal and the European Bioeconomy Strategy.",https://circulareconomy.europa.eu/platform/en/good-practices/brilian-promoting-transition-bio-based-economies-rural-areas,Brilian Project,Research institute,Spain,English,"Production, Innovation and investments","Agriculture, fertilisers and forestry, Bioeconomy and Biomimicry, Circular action for climate neutrality, Circular design, Waste management & Secondary Raw Materials",EU
RCA Engineering: Recycling composite materials in a circular plant,RCA Engineering has come up with modular plants for recycling composite materials. The modular engineering and construction process produces plants that can be assembled quickly and affordably.,https://circulareconomy.europa.eu/platform/en/good-practices/rca-engineering-recycling-composite-materials-circular-plant,RCA Engineering,Business,Spain,English,"Production, Waste management, Innovation and investments","Circular action for climate neutrality, Industrial techniques, Machinery and Equipment, Recycling, Waste management & Secondary Raw Materials",International
DiCE - Digital Health in the Circular Economy,DiCE (Digital Health in the Circular Economy) has been created to bring key stakeholders together to address challenges associated with the growing use of digital healthcare products and increasing demand for raw materials to manufacture new electronic devices and other equipment.,https://circulareconomy.europa.eu/platform/en/good-practices/dice-digital-health-circular-economy,DiCE,Other,Belgium,English,"Production, Waste management, Secondary raw materials, Innovation and investments","Circular design, Health and healthcare, Recycling, Refuse, Re-think, Reduce, Waste management & Secondary Raw Materials",EU
RecycAI: recovering fabric waste to make heavy-duty bags,The Albanian social enterprise RecycAl reuses textile waste such as leather or canvas by turning it into heavy-duty bags that could be produced at industrial scale.,https://circulareconomy.europa.eu/platform/en/good-practices/recycai-recovering-fabric-waste-make-heavy-duty-bags,RecycAl,Social enterprise,Other (Albania),English,Secondary raw materials,"Circular action for climate neutrality, Circular design, Recycling, Textiles, apparel and leather",Regional
Gravity Wave: From ocean plastic to furniture and recycled raw materials,"Gravity Wave is a social start-up based in Spain. It focuses on working with small-scale fishermen to collect as much as possible of the plastic waste fouling the Mediterranean, from water bottles to a whole load of discarded fishing nets.",https://circulareconomy.europa.eu/platform/en/good-practices/gravity-wave-ocean-plastic-furniture-and-recycled-raw-materials,Gravity Wave,Social enterprise,Spain,English,"Production, Waste management, Secondary raw materials, Innovation and investments","Awareness raising, B2B services, Circular action for climate neutrality, Circular design, Plastics, Polymers and Rubber, Research, Waste management & Secondary Raw Materials","National, International, EU"
Knof Institute for Creative Development - a social enterprise,"Knof is a Slovenian social enterprise with a focus on circularity and sustainability. It operates reuse boutiques, a circular laboratory and a programme for individuals and entrepreneurs supporting sustainable companies.",https://circulareconomy.europa.eu/platform/en/good-practices/knof-institute-creative-development-social-enterprise,Knof,Social enterprise,Slovenia,Slovenian,"Consumption, Secondary raw materials","Awareness raising, B2B services, Circular design, Clothing and Fashion industry, Furniture, Refuse, Re-think, Reduce, Repair, Refurbishment, Remanufacture, Repurpose, Textiles, apparel and leather",Regional
"Arteinborsa: upcycling old banners into fashion accessories, with a hint of history and culture","Parma Municipality, theConfederazione Nazionale dell’Artigianato e della Piccola e Media Impresa(National Confederation of Crafts and SMEs) andLa coperta di Linushave launched a project calledArteinborsa(A-Bag-from-Art). This project uses old posters from local exhibitions to create bags and accessories.",https://circulareconomy.europa.eu/platform/en/good-practices/arteinborsa-upcycling-old-banners-fashion-accessories-hint-history-and-culture,ANAKO APS,Social enterprise,Italy,Italian,Waste management,Circular design,Regional
MixMatters: Smart and flexible separation and valorisation of mixed bio-waste from the agri-food value chain,"The MixMatters project aims to optimise the value derived from mixed biological waste. It will introduce a groundbreaking, integrated and adaptable solution for efficiently harnessing the potential of mixed bio-waste.",https://circulareconomy.europa.eu/platform/en/good-practices/mixmatters-smart-and-flexible-separation-and-valorisation-mixed-bio-waste-agri-food-value-chain,MixMatters Project,Research institute,Spain,English,Waste management,"Awareness raising, Behavioural incentives, Circular action for climate neutrality, Industrial techniques, Innovation and investment, Machinery and Equipment, Recover, Regenerative economy, Recycling, Research, Social impact, Waste management & Secondary Raw Materials",EU
WREP scheme: Pilot project for recycling post-consumer PVC articles,"The ""Waste REcycling Project"" (WREP) is a pilot scheme developed by PVC Forum Italia, the national association of producers, converters and recyclers of PVC (polyvinyl chloride), in collaboration with VinylPlus, the European PVC value chain association.It aims to make the collection, sorting and recycling of PVC waste from demolition/renovation, bulky waste and waste management centres more efficient, using a consolidated and accredited traceability methodology.",https://circulareconomy.europa.eu/platform/en/good-practices/wrep-scheme-pilot-project-recycling-post-consumer-pvc-articles,PVC Forum Italia,Business Association,Italy,English,Secondary raw materials,"Plastics, Polymers and Rubber, Recycling, Waste management & Secondary Raw Materials",National
ELLIPSE: Efficient and novel reuse of organic waste streams,The ELLIPSE project seeks to optimise the use of two heterogeneous waste streams of which plentiful amounts are generated across Europe:slaughterhouse waste (bellygrass)andpaper and pulp sludge. The project will produce cost-efficient polyhydroxyalkanoates(PHAs)for the agricultural and packaging sectors by co-processing these waste streams with other organic ones such as glycerol from the biodiesel industry and sludge from the dairy industry.,https://circulareconomy.europa.eu/platform/en/good-practices/ellipse-efficient-and-novel-reuse-organic-waste-streams,ELLIPSE project,Research institute,Spain,English,Secondary raw materials,"Agriculture, fertilisers and forestry, Awareness raising, Bioeconomy and Biomimicry, Packaging, Personal and household goods, Recover, Regenerative economy, Research",EU
Skanska and Cyrkl join forces to endeavour to recover 96% of materials from the Merkuria building in Prague,"Skanska is a leading construction and development company that has made sustainability a crucial part of its operations. With the assistance of Cyrkl, it has taken on the challenge of deconstructing the Merkuria building, revolutionising the industry, saving materials and helping charities in the process.",https://circulareconomy.europa.eu/platform/en/good-practices/skanska-and-cyrkl-join-forces-endeavour-recover-96-materials-merkuria-building-prague,Cyrkl,Private company,Czechia,Czech,Waste management,Waste management & Secondary Raw Materials,Cooperation and development
ReLearn: artificial intelligence helping organisations to improve recycling rates,ReLearn is an innovative start-up using Artificial Intelligence to help companies and municipalities increase their recycling rates.,https://circulareconomy.europa.eu/platform/en/good-practices/relearn-artificial-intelligence-helping-organisations-improve-recycling-rates,ReLearn,Private company,Italy,English,Waste management,"Awareness raising, Behavioural incentives, Innovation and investment, Waste management & Secondary Raw Materials",N/A
CircEUlar: understanding the dynamics and levers for societal transformation towards a net-zero emission circular economy,CircEUlar is a four-year European Research and Innovation Action that will develop new modelling approaches for analysing circularity from a systems perspective.,https://circulareconomy.europa.eu/platform/en/good-practices/circeular-understanding-dynamics-and-levers-societal-transformation-towards-net-zero-emission-circular-economy,International Institute for Applied Systems Analysis (IIASA),Research institute,Austria,English,"Production, Consumption, Waste management, Secondary raw materials, Innovation and investments","Behavioural incentives, Circular action for climate neutrality, Refuse, Re-think, Reduce, Repair, Refurbishment, Remanufacture, Repurpose, Research, Social impact, Waste management & Secondary Raw Materials","Regional, National, EU"
Siptex: A pioneering textile sorting technology for increased circularity,"Siptex is the world’s first large-scale facility for sorting textiles by colour and fibre composition through near-infrared light to handle large flows and produce textile fractions suited to different recycling processes.  As textile waste is a growing concern around the world, innovative solutions are required to tackle this environmental problem.",https://circulareconomy.europa.eu/platform/en/good-practices/siptex-pioneering-textile-sorting-technology-increased-circularity,Sysav - Siptex,Business,Sweden,English,Waste management,"Textiles, apparel and leather",National
Jeanologia: denim garments with a close-to-zero water and chemicals footprint,"The Spanish company Jeanologia is currently spearheading the greatest challenge facing the textile industry: to achieve total dehydration and detoxification in denim industry. With Mission Zero the company is transforming the way jeans are made, from fabric to finish, minimising the use of water and chemicals to a close-to-zero target.",https://circulareconomy.europa.eu/platform/en/good-practices/jeanologia-denim-garments-close-zero-water-and-chemicals-footprint,Jeanologia,Business,Spain,English,Production,"Chemical management, Clothing and Fashion industry, Industrial techniques, Refuse, Re-think, Reduce, Textiles, apparel and leather, Water","Cooperation and development, International"
A Digital Environmental Label for proper disposal of packaging waste,"EAD is a digital environmental label providing information about the product's packaging: its components, the materials it's made of, and how to dispose of them properly.All you need to do is scan the QR code on the packaging to get real-time, geolocated and accurate information on how to dispose of it.",https://circulareconomy.europa.eu/platform/en/good-practices/digital-environmental-label-proper-disposal-packaging-waste,Digital Environmental Label (EAD),Business,Italy,English,Consumption,"Circular action for climate neutrality, Digital solutions, Empowering Consumers, Packaging, Recycling",EU
Arany Kapu: valorising winemaking byproducts from nearly 300 Hungarian vineyards,"Arany Kapu (in English ""golden gate""), a private company in Kunfehértó, Hungary, collects grape processing and winemaking byproducts from all the country's wine regions for valorisation in diverse forms, including distillation.",https://circulareconomy.europa.eu/platform/en/good-practices/arany-kapu-valorising-winemaking-byproducts-nearly-300-hungarian-vineyards,Arany Kapu,Private company,Hungary,English,Production,Other (viticultural distillery),National
Hydal Coffee: cascade recycling of spent coffee grounds and coffee capsules,"Hydal Coffee has adopted a unique cascade recycling system for used coffee grounds which is in line with the zero waste concept. In this way, they support the circular economy and thus mitigate the impact on climate change.Through this system, Hydal Coffee obtains high-quality ingredients by gradually removing the valuable parts of coffee grounds. These are then used in the cosmetics industry and serve as an input material for making plastic products.",https://circulareconomy.europa.eu/platform/en/good-practices/hydal-coffee-cascade-recycling-spent-coffee-grounds-and-coffee-capsules,Hydal Coffee s.r.o.,Business,Czechia,Czech,Secondary raw materials,Recycling,EU
REEPRODUCE: Dismantling and recycling rare earth elements from end-of-life products for the European green transition,The REEPRODUCE project will break new ground by establishing a sustainable and complete European industrial-scale value chain for recycling the rare earth elements in permanent magnets. REEPRODUCE will capitalise on the knowledge generated by previous R&D projects (REE4EU) and tackle all the remaining technical challenges along the value chain. This innovative technique will produce new permanent magnets using environmentally-friendly technologies at a competitive cost and using end-of-life products as a resource.,https://circulareconomy.europa.eu/platform/en/good-practices/reeproduce-dismantling-and-recycling-rare-earth-elements-end-life-products-european-green-transition,SINTEF AS,Research institute,Other (Norway),English,"Waste management, Secondary raw materials","Awareness raising, Circular action for climate neutrality, Circular design, Recycling, Refuse, Re-think, Reduce, Repair, Refurbishment, Remanufacture, Repurpose, Social impact, Waste management & Secondary Raw Materials",International
Re:Lab AB: converting research lab plastic consumables into carbon monoxide and hydrogen,The Swedish company Re:Lab AB has developed a chemical circular economy solution to convert plastic items used in research laboratories into a syngas comprised of carbon monoxide and hydrogen. These two components are in high demand for the production of chemicals and plastics.,https://circulareconomy.europa.eu/platform/en/good-practices/relab-ab-converting-research-lab-plastic-consumables-carbon-monoxide-and-hydrogen,Re:Lab AB,Private company,Sweden,English,Secondary raw materials,"Cement, Steel, Chemicals, Plastics, Polymers and Rubber, Recycling, Research",Cooperation and development
AIMPLAS developing a method for converting marine plastic waste into aquaculture products,"The ÑCostas project will make it possible to reuse plastic material recovered from the sea and waste from the aquaculture industry to make walkways and platforms for fish farms, port protection products, flotation tubes, and nets and mesh for reinforcement, among other products.",https://circulareconomy.europa.eu/platform/en/good-practices/aimplas-developing-method-converting-marine-plastic-waste-aquaculture-products,AIMPLAS,Research institute,Spain,Spanish,"Production, Secondary raw materials",N/A,National
COAG: composting in Catalonia,"150 livestock family farms have joined a bio-economy plant project in Alcarràs, Catalonia, a region with many livestock farms and fruit plantations. The project aims to manage manure in a more sustainable and circular way.",https://circulareconomy.europa.eu/platform/en/good-practices/coag-composting-catalonia,COAG,NGO or network of NGOs,Spain,Spanish,Waste management,"Agriculture, fertilisers and forestry",Rural
tExtended: an innovative approach to recycling textiles waste,"The tExtended European project has come up with an innovative approach to recycling textile waste by developing a knowledge-based masterplan for optimised recycling of discarded textiles. The research combines recycling, waste-valorisation and data technologies to maximise the impact.Twenty organisations from 10 countries have collaborated to create economically feasible and sustainable solutions for reducing waste in the textiles industry.",https://circulareconomy.europa.eu/platform/en/good-practices/textended-innovative-approach-recycling-textiles-waste,AIMPLAS,Research institute,Spain,English,"Secondary raw materials, Innovation and investments","Recycling, Textiles, apparel and leather","International, EU"
H2020 project PEACOC,PEACOC is a pre-commercial H2020 pilot project for the efficient recovery of precious metals from European end of life resources with novel low-cost technologies.,https://circulareconomy.europa.eu/platform/en/good-practices/h2020-project-peacoc,PEACOC H2020 project,Research institute,EU,English,"Waste management, Secondary raw materials","Circular action for climate neutrality, Recycling, Research, Reuse, Social impact, Waste management & Secondary Raw Materials",EU
Upcycle your office with IMPACT Furniture,"https://www.instagram.com/impact.furnitureIMPACT Furniture is part of Oxfam Belgium. Through its Upcycle Your Office project, it is in the process of developing a catalogue of upcycled office furniture.The plywood panels are recovered from old office furniture thrown away by local businesses and organisations and subsequently used as a raw material for making new furniture items.The profits are ploughed back into Oxfam Belgium and help finance projects to fight poverty.",https://circulareconomy.europa.eu/platform/en/good-practices/upcycle-your-office-impact-furniture,IMPACT Furniture by Oxfam,NGO or network of NGOs,Belgium,French,Production,"B2B services, Furniture, Repair, Refurbishment, Remanufacture, Repurpose, Waste management & Secondary Raw Materials",Regional
2022 Edition of the Circular Navarre Catalogue,"The Circular Navarre Catalogue 2022 is an update of the showcasing booklet published in 2020 and in 2021. This new edition includes 50 organisations - based on circular business models - in the Spanish Navarre region, looking for international cooperation.",https://circulareconomy.europa.eu/platform/en/good-practices/2022-edition-circular-navarre-catalogue,Asociación de la Industria Navarra,Business Association,Spain,English,"Production, Secondary raw materials, Innovation and investments","Agriculture, fertilisers and forestry, Awareness raising, Batteries and Vehicles, Bioeconomy and Biomimicry, Circular design, Clothing and Fashion industry, Construction, Buildings and Infrastructure, Digital solutions, Electronics and ICT, Food, water and nutrients, Furniture, Machinery and Equipment, Mobility and transport, Packaging, Recycling, Refuse, Re-think, Reduce, Reuse, Soils, soil improvement and restoration, Waste management & Secondary Raw Materials, Water","International, EU"
Blue Plastics - a Dutch innovation for recycling flexible plastics,"Blue Plastics technology, called CleanBlueTech, is a pioneering, solvent-based, closed-loop washing technology that removes smell, glue, print-ink and organic residues from any plastic flexible film waste.CleanBlueTech is a game changer as it uses 70% less energy and 100% less water than existing technologies.",https://circulareconomy.europa.eu/platform/en/good-practices/blue-plastics-dutch-innovation-recycling-flexible-plastics,Blue Plastics,Private company,Netherlands,Dutch,Waste management,"Circular design, Economic instruments, Industrial techniques, Innovation and investment, Packaging, Plastics, Polymers and Rubber, Recycling, Waste management & Secondary Raw Materials","National, Global, EU"
Claerhout Aluminium or how to make roofing circular,The roofing clips by Claerhout Aluminium are an aluminium roof trim enabling the circular finishing of a flat roof with bitumen.,https://circulareconomy.europa.eu/platform/en/good-practices/claerhout-aluminium-or-how-make-roofing-circular,Claerhout Aluminium,Business,Belgium,Dutch,Production,"Construction, Buildings and Infrastructure, Mining, metals and minerals",International
